start.date,end.date,block,treatment,plot,replicate,sampling.method,family,morphospecies.code,count
2008-05-19,2008-05-29,Valley,Hemlock,3,5,Litter_sifting,Scarabaeidae,44,1
2008-07-18,2008-07-28,Valley,Hemlock,3,4,Litter_sifting,Staphylinidae,72,1
2008-07-18,2008-07-28,Valley,Hemlock,3,2,Pitfall,Staphylinidae,126,3
2008-07-18,2008-07-28,Valley,Hemlock,3,1,Litter_sifting,Curculionidae,12,2
2008-09-22,2008-10-02,Valley,Hemlock,3,3,Litter_sifting,Scydmaenidae,35,3
2008-07-18,2008-07-28,Valley,Hemlock,3,3,Pitfall,Staphylinidae,72,1
2008-09-22,2008-10-02,Valley,Hemlock,3,2,Litter_sifting,Scydmaenidae,35,2
2008-09-22,2008-10-02,Valley,Hemlock,3,2,Litter_sifting,Staphylinidae,11,2
2008-07-18,2008-07-28,Valley,Hemlock,3,5,Litter_sifting,Staphylinidae,72,2
2008-07-18,2008-07-28,Valley,Hemlock,3,5,Litter_sifting,Curculionidae,12,1
2008-09-22,2008-10-02,Valley,Hemlock,3,5,Litter_sifting,Curculionidae,12,3
2008-07-18,2008-07-28,Valley,Hemlock,3,2,Litter_sifting,Curculionidae,12,1
2008-09-22,2008-10-02,Valley,Hemlock,3,5,Litter_sifting,Carabidae,2,1
2008-07-18,2008-07-28,Valley,Hemlock,3,4,Litter_sifting,Scarabaeidae,44,1
2008-07-18,2008-07-28,Valley,Hemlock,3,5,Pitfall,Staphylinidae,124,1
2008-05-19,2008-05-29,Valley,Hemlock,3,3,Litter_sifting,Staphylinidae,38,2
2008-07-18,2008-07-28,Valley,Hemlock,3,2,Pitfall,Staphylinidae,10,1
2008-05-19,2008-05-29,Valley,Hemlock,3,1,Pitfall,Elateridae,40,1
2008-07-18,2008-07-28,Valley,Hemlock,3,5,Pitfall,Nitidulidae,123,1
2008-07-18,2008-07-28,Valley,Hemlock,3,2,Pitfall,Leiodidae,80,1
2008-07-18,2008-07-28,Valley,Hemlock,3,1,Pitfall,Nitidulidae,123,1
2008-09-22,2008-10-02,Valley,Hemlock,3,3,Litter_sifting,Staphylinidae,82,2
2008-05-19,2008-05-29,Valley,Hemlock,3,3,Pitfall,Carabidae,1,1
2008-05-19,2008-05-29,Valley,Hemlock,3,3,Litter_sifting,Elateridae,37,1
2008-07-18,2008-07-28,Valley,Hemlock,3,5,Litter_sifting,Nitidulidae,55,2
2008-05-19,2008-05-29,Valley,Hemlock,3,4,Litter_sifting,Chrysomelidae,60,1
2008-09-22,2008-10-02,Valley,Hemlock,3,1,Pitfall,Staphylinidae,133,4
2008-05-19,2008-05-29,Valley,Hemlock,3,1,Litter_sifting,Carabidae,2,1
2008-07-18,2008-07-28,Valley,Hemlock,3,1,Litter_sifting,Ptilidae,23,1
2008-05-19,2008-05-29,Valley,Hemlock,3,2,Litter_sifting,Scarabaeidae,57,1
2008-07-18,2008-07-28,Valley,Hemlock,3,4,Litter_sifting,Ptilidae,68,14
2008-07-18,2008-07-28,Valley,Hemlock,3,1,Litter_sifting,Scydmaenidae,35,4
2008-05-19,2008-05-29,Valley,Hemlock,3,4,Litter_sifting,Scaphidiidae,62,1
2008-09-22,2008-10-02,Valley,Hemlock,3,3,Litter_sifting,Nitidulidae,55,1
2008-07-18,2008-07-28,Valley,Hemlock,3,1,Pitfall,Staphylinidae,50,2
2008-05-19,2008-05-29,Valley,Hemlock,3,1,Pitfall,Elateridae,33,1
2008-07-18,2008-07-28,Valley,Hemlock,3,4,Litter_sifting,Nitidulidae,55,1
2008-09-22,2008-10-02,Valley,Hemlock,3,5,Pitfall,Staphylinidae,50,1
2008-05-19,2008-05-29,Valley,Hemlock,3,1,Litter_sifting,Staphylinidae,51,1
2008-07-18,2008-07-28,Valley,Hemlock,3,2,Litter_sifting,Scarabaeidae,57,1
2008-07-18,2008-07-28,Valley,Hemlock,3,5,Litter_sifting,Ptilidae,68,29
2008-07-18,2008-07-28,Valley,Hemlock,3,5,Pitfall,Staphylinidae,126,3
2008-05-19,2008-05-29,Valley,Hemlock,3,4,Litter_sifting,Scydmaenidae,35,1
2008-07-18,2008-07-28,Valley,Hemlock,3,1,Pitfall,Staphylinidae,126,1
2008-09-22,2008-10-02,Valley,Hemlock,3,2,Litter_sifting,Carabidae,2,1
2008-09-22,2008-10-02,Valley,Hemlock,3,3,Litter_sifting,Staphylinidae,48,1
2008-05-19,2008-05-29,Valley,Hemlock,3,1,Pitfall,Staphylinidae,27,1
2008-05-19,2008-05-29,Valley,Hemlock,3,4,Litter_sifting,Staphylinidae,61,1
2008-07-18,2008-07-28,Valley,Hemlock,3,1,Litter_sifting,Ptilidae,68,35
2008-09-22,2008-10-02,Valley,Hemlock,3,5,Pitfall,Staphylinidae,133,2
2008-09-22,2008-10-02,Valley,Hemlock,3,2,Pitfall,Staphylinidae,133,1
2008-09-22,2008-10-02,Valley,Hemlock,3,2,Litter_sifting,Staphylinidae,48,1
2008-07-18,2008-07-28,Valley,Hemlock,3,1,Pitfall,Carabidae,17,1
2008-09-22,2008-10-02,Valley,Hemlock,3,4,Litter_sifting,Staphylinidae,48,1
2008-09-22,2008-10-02,Valley,Hemlock,3,5,Litter_sifting,Scaphidiidae,62,1
2008-07-18,2008-07-28,Valley,Hemlock,3,3,Pitfall,Staphylinidae,126,2
2008-07-18,2008-07-28,Valley,Hemlock,3,4,Pitfall,Staphylinidae,126,2
2008-07-18,2008-07-28,Valley,Hemlock,3,5,Pitfall,Carabidae,104,3
2008-07-18,2008-07-28,Valley,Hemlock,3,2,Pitfall,Staphylinidae,103,1
2008-07-18,2008-07-28,Valley,Hemlock,3,3,Litter_sifting,Carabidae,86,2
2008-07-18,2008-07-28,Valley,Hemlock,3,1,Litter_sifting,Carabidae,7,1
2008-07-18,2008-07-28,Valley,Hemlock,3,3,Pitfall,Scarabaeidae,101,1
2008-05-19,2008-05-29,Valley,Hemlock,3,3,Litter_sifting,Curculionidae,6,1
2008-05-19,2008-05-29,Valley,Hemlock,3,5,Pitfall,Carabidae,2,9
2008-07-18,2008-07-28,Valley,Hemlock,3,3,Litter_sifting,Elateridae,87,1
2008-07-18,2008-07-28,Valley,Hemlock,3,2,Litter_sifting,Tenebrionidae,89,1
2008-05-19,2008-05-29,Valley,Hemlock,3,3,Pitfall,Carabidae,2,9
2008-07-18,2008-07-28,Valley,Hemlock,3,2,Pitfall,Scarabaeidae,101,2
2008-07-18,2008-07-28,Valley,Hemlock,3,3,Pitfall,Carabidae,104,2
2008-07-18,2008-07-28,Valley,Hemlock,3,2,Pitfall,Nitidulidae,102,1
2008-07-18,2008-07-28,Valley,Hemlock,3,4,Pitfall,Nitidulidae,102,1
2008-05-19,2008-05-29,Valley,Hemlock,3,5,Pitfall,Staphylinidae,116,1
2008-09-22,2008-10-02,Valley,Hemlock,3,4,Litter_sifting,Scaphidiidae,93,1
2008-09-22,2008-10-02,Valley,Hemlock,3,2,Pitfall,Nitidulidae,102,1
2008-07-18,2008-07-28,Valley,Hemlock,3,5,Pitfall,Carabidae,106,1
2008-05-19,2008-05-29,Valley,Hemlock,3,4,Pitfall,Staphylinidae,4,1
2008-07-18,2008-07-28,Valley,Hemlock,3,1,Pitfall,Carabidae,106,1
2008-09-22,2008-10-02,Valley,Hemlock,3,5,Pitfall,Carabidae,2,1
2008-09-22,2008-10-02,Valley,Hemlock,3,2,Pitfall,Staphylinidae,121,1
2008-09-22,2008-10-02,Valley,Hemlock,3,1,Pitfall,Scarabaeidae,101,3
2008-09-22,2008-10-02,Valley,Hemlock,3,5,Litter_sifting,Leiodidae,83,1
2008-05-19,2008-05-29,Valley,Hemlock,3,5,Litter_sifting,Carabidae,2,1
2008-09-22,2008-10-02,Valley,Hemlock,3,4,Litter_sifting,Leiodidae,83,1
2008-09-22,2008-10-02,Valley,Hemlock,3,3,Pitfall,Scarabaeidae,101,1
2008-05-19,2008-05-29,Valley,Hemlock,3,2,Pitfall,Carabidae,2,8
2008-09-22,2008-10-02,Valley,Hemlock,3,1,Litter_sifting,Leiodidae,83,1
2008-05-19,2008-05-29,Valley,Hemlock,3,2,Litter_sifting,Carabidae,2,2
2008-07-18,2008-07-28,Valley,Hemlock,3,4,Pitfall,Carabidae,104,3
2008-05-19,2008-05-29,Valley,Hemlock,3,4,Pitfall,Carabidae,2,4
2008-09-22,2008-10-02,Valley,Hemlock,3,2,Pitfall,Carabidae,104,2
2008-09-22,2008-10-02,Valley,Hemlock,3,2,Pitfall,Scarabaeidae,101,3
2008-07-18,2008-07-28,Valley,Hemlock,3,1,Pitfall,Leiodidae,83,1
2008-05-19,2008-05-29,Valley,Hemlock,3,1,Pitfall,Curculionidae,6,1
2008-07-18,2008-07-28,Valley,Hemlock,3,2,Pitfall,Carabidae,104,1
2008-09-22,2008-10-02,Valley,Hemlock,3,4,Pitfall,Carabidae,106,1
2008-07-18,2008-07-28,Ridge,Logged,4,1,Pitfall,Carabidae,106,1
2008-09-22,2008-10-02,Ridge,Logged,4,4,Pitfall,Scarabaeidae,65,1
2008-05-19,2008-05-29,Ridge,Logged,4,2,Litter_sifting,Scarabaeidae,65,3
2008-07-18,2008-07-28,Ridge,Logged,4,3,Pitfall,Scarabaeidae,101,1
2008-07-18,2008-07-28,Ridge,Logged,4,1,Litter_sifting,Ptilidae,68,4
2008-09-22,2008-10-02,Ridge,Logged,4,2,Pitfall,Staphylinidae,126,1
2008-05-19,2008-05-29,Ridge,Logged,4,2,Pitfall,Staphylinidae,27,1
2008-09-22,2008-10-02,Ridge,Logged,4,2,Litter_sifting,Scydmaenidae,35,2
2008-05-19,2008-05-29,Ridge,Logged,4,4,Pitfall,Silphidae,26,1
2008-07-18,2008-07-28,Ridge,Logged,4,1,Pitfall,Scarabaeidae,101,2
2008-05-19,2008-05-29,Ridge,Logged,4,5,Litter_sifting,Lampyridae,16,1
2008-09-22,2008-10-02,Ridge,Logged,4,4,Litter_sifting,Nitidulidae,55,1
2008-09-22,2008-10-02,Ridge,Logged,4,5,Litter_sifting,Carabidae,24,1
2008-07-18,2008-07-28,Ridge,Logged,4,1,Pitfall,Carabidae,104,2
2008-05-19,2008-05-29,Ridge,Logged,4,3,Pitfall,Carabidae,24,1
2008-07-18,2008-07-28,Ridge,Logged,4,5,Litter_sifting,Carabidae,24,1
2008-05-19,2008-05-29,Ridge,Logged,4,3,Pitfall,Carabidae,104,1
2008-07-18,2008-07-28,Ridge,Logged,4,3,Pitfall,Carabidae,24,1
2008-07-18,2008-07-28,Ridge,Logged,4,3,Litter_sifting,Carabidae,24,2
2008-05-19,2008-05-29,Ridge,Logged,4,2,Litter_sifting,Ptilidae,23,6
2008-09-22,2008-10-02,Ridge,Logged,4,1,Pitfall,Carabidae,104,2
2008-07-18,2008-07-28,Ridge,Logged,4,5,Litter_sifting,Nitidulidae,55,1
2008-05-19,2008-05-29,Ridge,Logged,4,5,Pitfall,Curculionidae,6,1
2008-07-18,2008-07-28,Ridge,Logged,4,3,Pitfall,Carabidae,104,1
2008-07-18,2008-07-28,Ridge,Logged,4,2,Pitfall,Scarabaeidae,101,2
2008-07-18,2008-07-28,Ridge,Logged,4,2,Litter_sifting,Carabidae,24,2
2008-07-18,2008-07-28,Ridge,Logged,4,2,Pitfall,Carabidae,24,2
2008-07-18,2008-07-28,Ridge,Logged,4,4,Pitfall,Carabidae,104,1
2008-07-18,2008-07-28,Ridge,Logged,4,5,Pitfall,Carabidae,104,2
2008-05-19,2008-05-29,Ridge,Logged,4,2,Litter_sifting,Carabidae,59,1
2008-07-18,2008-07-28,Ridge,Logged,4,4,Pitfall,Staphylinidae,126,1
2008-05-19,2008-05-29,Ridge,Logged,4,3,Litter_sifting,Scarabaeidae,19,1
2008-05-19,2008-05-29,Ridge,Logged,4,3,Litter_sifting,Staphylinidae,4,4
2008-07-18,2008-07-28,Ridge,Logged,4,4,Litter_sifting,Carabidae,24,2
2008-05-19,2008-05-29,Ridge,Logged,4,3,Litter_sifting,Carabidae,24,5
2008-07-18,2008-07-28,Ridge,Logged,4,5,Litter_sifting,Carabidae,69,1
2008-07-18,2008-07-28,Ridge,Logged,4,2,Pitfall,Mordellidae,111,1
2008-07-18,2008-07-28,Ridge,Logged,4,3,Pitfall,Staphylinidae,109,2
2008-05-19,2008-05-29,Ridge,Logged,4,1,Pitfall,Carabidae,2,1
2008-07-18,2008-07-28,Ridge,Logged,4,4,Pitfall,Scarabaeidae,110,1
2008-05-19,2008-05-29,Ridge,Logged,4,2,Pitfall,Staphylinidae,136,1
2008-09-22,2008-10-02,Ridge,Logged,4,2,Pitfall,Staphylinidae,50,2
2008-07-18,2008-07-28,Ridge,Logged,4,1,Pitfall,Staphylinidae,126,2
2008-05-19,2008-05-29,Ridge,Logged,4,4,Pitfall,Staphylinidae,50,1
2008-07-18,2008-07-28,Ridge,Logged,4,3,Pitfall,Scarabaeidae,110,4
2008-05-19,2008-05-29,Ridge,Logged,4,3,Pitfall,Carabidae,2,10
2008-05-19,2008-05-29,Ridge,Logged,4,2,Litter_sifting,Curculionidae,12,1
2008-05-19,2008-05-29,Ridge,Logged,4,2,Pitfall,Staphylinidae,3,2
2008-05-19,2008-05-29,Ridge,Logged,4,3,Litter_sifting,Elateridae,40,1
2008-07-18,2008-07-28,Ridge,Logged,4,1,Litter_sifting,Throscidae,42,1
2008-05-19,2008-05-29,Ridge,Logged,4,2,Pitfall,Carabidae,2,9
2008-05-19,2008-05-29,Ridge,Logged,4,1,Litter_sifting,Scydmaenidae,35,2
2008-05-19,2008-05-29,Ridge,Logged,4,1,Pitfall,Carabidae,1,1
2008-05-19,2008-05-29,Ridge,Logged,4,5,Litter_sifting,Carabidae,2,1
2008-07-18,2008-07-28,Ridge,Logged,4,1,Litter_sifting,Leiodidae,83,1
2008-09-22,2008-10-02,Ridge,Logged,4,4,Litter_sifting,Latridiidae,77,1
2008-05-19,2008-05-29,Ridge,Logged,4,3,Litter_sifting,Elateridae,39,1
2008-05-19,2008-05-29,Ridge,Logged,4,5,Pitfall,Scydmaenidae,35,1
2008-05-19,2008-05-29,Ridge,Logged,4,2,Litter_sifting,Carabidae,9,1
2008-05-19,2008-05-29,Ridge,Logged,4,2,Litter_sifting,Carabidae,2,1
