start.date,end.date,block,treatment,plot,replicate,sampling.method,genus,species,num.workers
2008-09-22,2008-10-02,Valley,Girdled,1,4,Litter_sifting,Aphaenogaster,picea,1
2008-05-19,2008-05-29,Valley,Girdled,1,5,Litter_sifting,Aphaenogaster,picea,1
2008-05-19,2008-05-29,Valley,Girdled,1,5,Pitfall,Formica,subaenescens,1
2008-05-19,2008-05-29,Valley,Girdled,1,5,Pitfall,Formica,subaenescens,1
2008-05-19,2008-05-29,Valley,Girdled,1,5,Litter_sifting,Stenamma,impar,6
2008-05-19,2008-05-29,Valley,Girdled,1,5,Litter_sifting,Stenamma,impar,1
2008-05-19,2008-05-29,Valley,Girdled,1,5,Litter_sifting,Stenamma,schmittii,1
2008-07-18,2008-07-28,Valley,Girdled,1,5,Pitfall,Aphaenogaster,picea,1
2008-07-18,2008-07-28,Valley,Girdled,1,5,Pitfall,Camponotus,pennsylvanicus,1
2008-07-18,2008-07-28,Valley,Girdled,1,5,Litter_sifting,Stenamma,impar,1
2008-09-22,2008-10-02,Valley,Girdled,1,5,Pitfall,Aphaenogaster,picea,1
2008-09-22,2008-10-02,Valley,Girdled,1,5,Litter_sifting,Aphaenogaster,picea,0
2008-09-22,2008-10-02,Valley,Girdled,1,5,Pitfall,Aphaenogaster,picea,1
2008-09-22,2008-10-02,Valley,Girdled,1,5,Litter_sifting,Stenamma,impar,1
2008-09-22,2008-10-02,Valley,Girdled,1,5,Litter_sifting,Stenamma,impar,3
2008-05-19,2008-05-29,Valley,Logged,2,1,Litter_sifting,Stenamma,impar,6
2008-07-18,2008-07-28,Valley,Logged,2,1,Pitfall,Formica,neogagates,1
2008-07-18,2008-07-28,Valley,Logged,2,1,Litter_sifting,Stenamma,impar,1
2008-09-22,2008-10-02,Valley,Logged,2,1,Pitfall,Aphaenogaster,picea,1
2008-05-19,2008-05-29,Valley,Logged,2,2,Litter_sifting,Camponotus,novaeboracensis,2
2008-07-18,2008-07-28,Valley,Logged,2,2,Litter_sifting,Aphaenogaster,picea,1
2008-07-18,2008-07-28,Valley,Logged,2,2,Pitfall,Camponotus,novaeboracensis,1
2008-07-18,2008-07-28,Valley,Logged,2,2,Pitfall,Camponotus,pennsylvanicus,2
2008-07-18,2008-07-28,Valley,Logged,2,2,Pitfall,Myrmica,punctiventris,1
2008-09-22,2008-10-02,Valley,Logged,2,2,Pitfall,Aphaenogaster,picea,1
2008-05-19,2008-05-29,Valley,Logged,2,3,Litter_sifting,Aphaenogaster,picea,5
2008-05-19,2008-05-29,Valley,Logged,2,3,Litter_sifting,Stenamma,impar,1
2008-05-19,2008-05-29,Valley,Logged,2,3,Litter_sifting,Temnothorax,longispinosus,2
2008-07-18,2008-07-28,Valley,Logged,2,3,Pitfall,Aphaenogaster,picea,2
2008-07-18,2008-07-28,Valley,Logged,2,3,Pitfall,Camponotus,pennsylvanicus,2
2008-07-18,2008-07-28,Valley,Logged,2,3,Litter_sifting,Camponotus,pennsylvanicus,1
2008-07-18,2008-07-28,Valley,Logged,2,3,Pitfall,Formica,subaenescens,1
2008-05-19,2008-05-29,Valley,Logged,2,4,Litter_sifting,Aphaenogaster,picea,1
2008-05-19,2008-05-29,Valley,Logged,2,4,Pitfall,Aphaenogaster,picea,1
2008-05-19,2008-05-29,Valley,Logged,2,4,Litter_sifting,Aphaenogaster,picea,1
2008-05-19,2008-05-29,Valley,Logged,2,4,Pitfall,Aphaenogaster,picea,1
2008-05-19,2008-05-29,Valley,Logged,2,4,Pitfall,Camponotus,pennsylvanicus,1
2008-05-19,2008-05-29,Valley,Logged,2,4,Pitfall,Camponotus,pennsylvanicus,1
2008-05-19,2008-05-29,Valley,Logged,2,4,Pitfall,Formica,subaenescens,1
2008-05-19,2008-05-29,Valley,Logged,2,4,Pitfall,Formica,subaenescens,1
2008-07-18,2008-07-28,Valley,Logged,2,4,Litter_sifting,Aphaenogaster,picea,1
2008-07-18,2008-07-28,Valley,Logged,2,4,Pitfall,Aphaenogaster,picea,3
2008-07-18,2008-07-28,Valley,Logged,2,4,Pitfall,Formica,subaenescens,6
2008-09-22,2008-10-02,Valley,Logged,2,4,Litter_sifting,Aphaenogaster,picea,6
2008-09-22,2008-10-02,Valley,Logged,2,4,Pitfall,Aphaenogaster,picea,7
2008-09-22,2008-10-02,Valley,Logged,2,4,Litter_sifting,Stenamma,impar,1
2008-05-19,2008-05-29,Valley,Logged,2,5,Pitfall,Aphaenogaster,picea,1
2008-05-19,2008-05-29,Valley,Logged,2,5,Pitfall,Aphaenogaster,picea,1
2008-05-19,2008-05-29,Valley,Logged,2,5,Pitfall,Formica,neogagates,1
2008-05-19,2008-05-29,Valley,Logged,2,5,Pitfall,Formica,neogagates,1
2008-05-19,2008-05-29,Valley,Logged,2,5,Pitfall,Formica,subsericea,1
2008-05-19,2008-05-29,Valley,Logged,2,5,Pitfall,Formica,subsericea,1
2008-05-19,2008-05-29,Valley,Logged,2,5,Litter_sifting,Stenamma,impar,0
2008-05-19,2008-05-29,Valley,Logged,2,5,Pitfall,Stenamma,impar,1
2008-05-19,2008-05-29,Valley,Logged,2,5,Pitfall,Stenamma,impar,1
2008-07-18,2008-07-28,Valley,Logged,2,5,Litter_sifting,Aphaenogaster,picea,1
2008-07-18,2008-07-28,Valley,Logged,2,5,Pitfall,Aphaenogaster,picea,11
2008-07-18,2008-07-28,Valley,Logged,2,5,Litter_sifting,Camponotus,pennsylvanicus,2
2008-07-18,2008-07-28,Valley,Logged,2,5,Pitfall,Camponotus,pennsylvanicus,2
2008-07-18,2008-07-28,Valley,Logged,2,5,Pitfall,Formica,aserva,2
2008-07-18,2008-07-28,Valley,Logged,2,5,Litter_sifting,Formica,subsericea,1
2008-07-18,2008-07-28,Valley,Logged,2,5,Pitfall,Formica,subsericea,0
2008-07-18,2008-07-28,Valley,Logged,2,5,Pitfall,Myrmica,AF-scu,2
2008-09-22,2008-10-02,Valley,Logged,2,5,Litter_sifting,Aphaenogaster,picea,4
2008-09-22,2008-10-02,Valley,Logged,2,5,Pitfall,Aphaenogaster,picea,2
2008-09-22,2008-10-02,Valley,Logged,2,5,Litter_sifting,Camponotus,pennsylvanicus,1
2008-05-19,2008-05-29,Valley,HemlockControl,3,1,Litter_sifting,Aphaenogaster,picea,4
2008-05-19,2008-05-29,Valley,HemlockControl,3,1,Pitfall,Aphaenogaster,picea,1
2008-05-19,2008-05-29,Valley,HemlockControl,3,1,Pitfall,Aphaenogaster,picea,1
2008-05-19,2008-05-29,Valley,HemlockControl,3,1,Pitfall,Aphaenogaster,picea,1
2008-05-19,2008-05-29,Valley,HemlockControl,3,1,Pitfall,Stenamma,impar,2
2008-05-19,2008-05-29,Valley,HemlockControl,3,1,Litter_sifting,Stenamma,impar,3
2008-05-19,2008-05-29,Valley,HemlockControl,3,1,Pitfall,Stenamma,impar,2
2008-07-18,2008-07-28,Valley,HemlockControl,3,1,Pitfall,Aphaenogaster,picea,1
2008-09-22,2008-10-02,Valley,HemlockControl,3,1,Litter_sifting,Aphaenogaster,picea,5
2008-09-22,2008-10-02,Valley,HemlockControl,3,1,Pitfall,Aphaenogaster,picea,4
2008-05-19,2008-05-29,Valley,HemlockControl,3,2,Litter_sifting,Aphaenogaster,picea,1
2008-05-19,2008-05-29,Valley,HemlockControl,3,2,Litter_sifting,Stenamma,impar,1
2008-07-18,2008-07-28,Valley,HemlockControl,3,2,Pitfall,Aphaenogaster,picea,2
2008-05-19,2008-05-29,Valley,HemlockControl,3,3,Litter_sifting,Stenamma,impar,10
2008-07-18,2008-07-28,Valley,HemlockControl,3,3,Litter_sifting,Aphaenogaster,picea,28
2008-07-18,2008-07-28,Valley,HemlockControl,3,3,Pitfall,Aphaenogaster,picea,1
2008-09-22,2008-10-02,Valley,HemlockControl,3,3,Pitfall,Aphaenogaster,picea,1
2008-05-19,2008-05-29,Valley,HemlockControl,3,4,Litter_sifting,Aphaenogaster,picea,2
2008-05-19,2008-05-29,Valley,HemlockControl,3,4,Litter_sifting,Stenamma,impar,4
2008-05-19,2008-05-29,Valley,HemlockControl,3,4,Litter_sifting,Stenamma,impar,2
2008-07-18,2008-07-28,Valley,HemlockControl,3,4,Pitfall,Aphaenogaster,picea,1
2008-07-18,2008-07-28,Valley,HemlockControl,3,4,Litter_sifting,Aphaenogaster,picea,1
2008-07-18,2008-07-28,Valley,HemlockControl,3,4,Litter_sifting,Stenamma,impar,1
2008-09-22,2008-10-02,Valley,HemlockControl,3,4,Litter_sifting,Aphaenogaster,picea,3
2008-09-22,2008-10-02,Valley,HemlockControl,3,4,Pitfall,Aphaenogaster,picea,1
2008-07-18,2008-07-28,Valley,HemlockControl,3,5,Litter_sifting,Aphaenogaster,picea,1
2008-09-22,2008-10-02,Valley,HemlockControl,3,5,Pitfall,Aphaenogaster,picea,1
2008-09-22,2008-10-02,Valley,HemlockControl,3,5,Litter_sifting,Aphaenogaster,picea,1
2008-09-22,2008-10-02,Valley,HemlockControl,3,5,Pitfall,Aphaenogaster,picea,1
2008-05-19,2008-05-29,Ridge,Logged,4,1,Litter_sifting,Aphaenogaster,fulva,5
2008-07-18,2008-07-28,Ridge,Logged,4,1,Pitfall,Aphaenogaster,fulva,2
2008-07-18,2008-07-28,Ridge,Logged,4,1,Litter_sifting,Aphaenogaster,fulva,2
2008-07-18,2008-07-28,Ridge,Logged,4,1,Pitfall,Camponotus,pennsylvanicus,3
2008-09-22,2008-10-02,Ridge,Logged,4,1,Litter_sifting,Temnothorax,longispinosus,1
2008-05-19,2008-05-29,Ridge,Logged,4,2,Litter_sifting,Aphaenogaster,fulva,16
2008-05-19,2008-05-29,Ridge,Logged,4,2,Litter_sifting,Temnothorax,longispinosus,7
2008-07-18,2008-07-28,Ridge,Logged,4,2,Pitfall,Aphaenogaster,fulva,6
2008-07-18,2008-07-28,Ridge,Logged,4,2,Pitfall,Camponotus,pennsylvanicus,1
2008-09-22,2008-10-02,Ridge,Logged,4,2,Pitfall,Aphaenogaster,fulva,2
2008-09-22,2008-10-02,Ridge,Logged,4,2,Litter_sifting,Aphaenogaster,fulva,1
2008-09-22,2008-10-02,Ridge,Logged,4,2,Pitfall,Aphaenogaster,fulva,2
2008-05-19,2008-05-29,Ridge,Logged,4,3,Pitfall,Aphaenogaster,fulva,3
2008-05-19,2008-05-29,Ridge,Logged,4,3,Litter_sifting,Aphaenogaster,fulva,3
2008-05-19,2008-05-29,Ridge,Logged,4,3,Pitfall,Camponotus,pennsylvanicus,5
2008-05-19,2008-05-29,Ridge,Logged,4,3,Litter_sifting,Myrmica,punctiventris,2
2008-05-19,2008-05-29,Ridge,Logged,4,3,Litter_sifting,Temnothorax,longispinosus,16
2008-07-18,2008-07-28,Ridge,Logged,4,3,Pitfall,Aphaenogaster,fulva,4
2008-07-18,2008-07-28,Ridge,Logged,4,3,Litter_sifting,Aphaenogaster,fulva,4
2008-07-18,2008-07-28,Ridge,Logged,4,3,Litter_sifting,Camponotus,pennsylvanicus,2
2008-07-18,2008-07-28,Ridge,Logged,4,3,Pitfall,Camponotus,pennsylvanicus,3
2008-09-22,2008-10-02,Ridge,Logged,4,3,Litter_sifting,Aphaenogaster,fulva,2
2008-09-22,2008-10-02,Ridge,Logged,4,3,Pitfall,Aphaenogaster,fulva,3
2008-09-22,2008-10-02,Ridge,Logged,4,3,Pitfall,Aphaenogaster,fulva,3
2008-09-22,2008-10-02,Ridge,Logged,4,3,Pitfall,Camponotus,pennsylvanicus,1
2008-09-22,2008-10-02,Ridge,Logged,4,3,Pitfall,Camponotus,pennsylvanicus,1
2008-05-19,2008-05-29,Ridge,Logged,4,4,Pitfall,Camponotus,pennsylvanicus,1
2008-07-18,2008-07-28,Ridge,Logged,4,4,Pitfall,Aphaenogaster,fulva,12
2008-07-18,2008-07-28,Ridge,Logged,4,4,Litter_sifting,Aphaenogaster,fulva,1
2008-07-18,2008-07-28,Ridge,Logged,4,4,Litter_sifting,Aphaenogaster,fulva,1
2008-07-18,2008-07-28,Ridge,Logged,4,4,Litter_sifting,Camponotus,novaeboracensis,1
2008-07-18,2008-07-28,Ridge,Logged,4,4,Litter_sifting,Camponotus,novaeboracensis,1
2008-07-18,2008-07-28,Ridge,Logged,4,4,Pitfall,Camponotus,pennsylvanicus,4
2008-07-18,2008-07-28,Ridge,Logged,4,4,Pitfall,Formica,subsericea,1
2008-09-22,2008-10-02,Ridge,Logged,4,4,Litter_sifting,Aphaenogaster,fulva,1
2008-09-22,2008-10-02,Ridge,Logged,4,4,Litter_sifting,Stenamma,impar,1
2008-07-18,2008-07-28,Ridge,Logged,4,5,Pitfall,Aphaenogaster,fulva,3
2008-07-18,2008-07-28,Ridge,Logged,4,5,Litter_sifting,Aphaenogaster,fulva,19
2008-09-22,2008-10-02,Ridge,Logged,4,5,Litter_sifting,Aphaenogaster,fulva,1
2008-09-22,2008-10-02,Ridge,Logged,4,5,Pitfall,Aphaenogaster,fulva,2
2008-09-22,2008-10-02,Ridge,Logged,4,5,Litter_sifting,Temnothorax,longispinosus,1
2008-05-19,2008-05-29,Ridge,Girdled,5,1,Litter_sifting,Aphaenogaster,picea,1
2008-05-19,2008-05-29,Ridge,Girdled,5,1,Pitfall,Aphaenogaster,picea,2
2008-05-19,2008-05-29,Ridge,Girdled,5,1,Pitfall,Camponotus,pennsylvanicus,1
2008-07-18,2008-07-28,Ridge,Girdled,5,1,Pitfall,Aphaenogaster,picea,7
2008-07-18,2008-07-28,Ridge,Girdled,5,1,Litter_sifting,Aphaenogaster,picea,25
2008-07-18,2008-07-28,Ridge,Girdled,5,1,Litter_sifting,Stenamma,impar,3
2008-09-22,2008-10-02,Ridge,Girdled,5,1,Pitfall,Aphaenogaster,picea,6
2008-09-22,2008-10-02,Ridge,Girdled,5,1,Pitfall,Aphaenogaster,picea,6
2008-05-19,2008-05-29,Ridge,Girdled,5,2,Litter_sifting,Aphaenogaster,picea,75
2008-05-19,2008-05-29,Ridge,Girdled,5,2,Pitfall,Camponotus,pennsylvanicus,3
2008-05-19,2008-05-29,Ridge,Girdled,5,2,Litter_sifting,Stenamma,impar,5
2008-07-18,2008-07-28,Ridge,Girdled,5,2,Pitfall,Aphaenogaster,picea,7
2008-07-18,2008-07-28,Ridge,Girdled,5,2,Litter_sifting,Aphaenogaster,picea,5
2008-07-18,2008-07-28,Ridge,Girdled,5,2,Litter_sifting,Stenamma,impar,1
2008-09-22,2008-10-02,Ridge,Girdled,5,2,Pitfall,Aphaenogaster,picea,3
2008-09-22,2008-10-02,Ridge,Girdled,5,2,Litter_sifting,Aphaenogaster,picea,2
2008-05-19,2008-05-29,Ridge,Girdled,5,3,Litter_sifting,Aphaenogaster,picea,1
2008-05-19,2008-05-29,Ridge,Girdled,5,3,Pitfall,Aphaenogaster,picea,4
2008-05-19,2008-05-29,Ridge,Girdled,5,3,Pitfall,Aphaenogaster,picea,1
2008-05-19,2008-05-29,Ridge,Girdled,5,3,Pitfall,Aphaenogaster,picea,1
2008-05-19,2008-05-29,Ridge,Girdled,5,3,Pitfall,Camponotus,pennsylvanicus,1
2008-05-19,2008-05-29,Ridge,Girdled,5,3,Pitfall,Camponotus,pennsylvanicus,1
2008-07-18,2008-07-28,Ridge,Girdled,5,3,Litter_sifting,Aphaenogaster,picea,43
2008-07-18,2008-07-28,Ridge,Girdled,5,3,Pitfall,Camponotus,pennsylvanicus,5
2008-09-22,2008-10-02,Ridge,Girdled,5,3,Pitfall,Aphaenogaster,picea,4
2008-09-22,2008-10-02,Ridge,Girdled,5,3,Litter_sifting,Stenamma,impar,1
2008-05-19,2008-05-29,Ridge,Girdled,5,4,Litter_sifting,Aphaenogaster,picea,2
2008-05-19,2008-05-29,Ridge,Girdled,5,4,Litter_sifting,Stenamma,impar,2
2008-07-18,2008-07-28,Ridge,Girdled,5,4,Pitfall,Aphaenogaster,picea,1
2008-07-18,2008-07-28,Ridge,Girdled,5,4,Litter_sifting,Aphaenogaster,picea,9
2008-07-18,2008-07-28,Ridge,Girdled,5,4,Litter_sifting,Stenamma,impar,1
2008-07-18,2008-07-28,Ridge,Girdled,5,4,Pitfall,Temnothorax,longispinosus,1
2008-09-22,2008-10-02,Ridge,Girdled,5,4,Pitfall,Aphaenogaster,picea,1
2008-05-19,2008-05-29,Ridge,Girdled,5,5,Litter_sifting,Aphaenogaster,picea,3
2008-07-18,2008-07-28,Ridge,Girdled,5,5,Pitfall,Aphaenogaster,picea,5
2008-07-18,2008-07-28,Ridge,Girdled,5,5,Litter_sifting,Aphaenogaster,picea,2
2008-07-18,2008-07-28,Ridge,Girdled,5,5,Pitfall,Camponotus,pennsylvanicus,1
2008-09-22,2008-10-02,Ridge,Girdled,5,5,Litter_sifting,Aphaenogaster,picea,1
2008-09-22,2008-10-02,Ridge,Girdled,5,5,Pitfall,Camponotus,pennsylvanicus,1
2008-07-18,2008-07-28,Ridge,HemlockControl,6,1,Pitfall,Aphaenogaster,picea,2
2008-07-18,2008-07-28,Ridge,HemlockControl,6,1,Litter_sifting,Aphaenogaster,picea,2
2008-07-18,2008-07-28,Ridge,HemlockControl,6,1,Litter_sifting,Stenamma,impar,1
2008-09-22,2008-10-02,Ridge,HemlockControl,6,1,Litter_sifting,Stenamma,impar,1
2008-05-19,2008-05-29,Ridge,HemlockControl,6,2,Pitfall,Aphaenogaster,picea,2
2008-05-19,2008-05-29,Ridge,HemlockControl,6,2,Litter_sifting,Aphaenogaster,picea,1
2008-05-19,2008-05-29,Ridge,HemlockControl,6,2,Pitfall,Aphaenogaster,picea,2
2008-07-18,2008-07-28,Ridge,HemlockControl,6,2,Pitfall,Aphaenogaster,picea,2
2008-07-18,2008-07-28,Ridge,HemlockControl,6,2,Litter_sifting,Aphaenogaster,picea,2
2008-09-22,2008-10-02,Ridge,HemlockControl,6,2,Litter_sifting,Aphaenogaster,picea,1
2008-09-22,2008-10-02,Ridge,HemlockControl,6,2,Pitfall,Aphaenogaster,picea,1
2008-05-19,2008-05-29,Ridge,HemlockControl,6,3,Litter_sifting,Aphaenogaster,picea,5
2008-05-19,2008-05-29,Ridge,HemlockControl,6,3,Pitfall,Camponotus,pennsylvanicus,2
2008-05-19,2008-05-29,Ridge,HemlockControl,6,3,Pitfall,Camponotus,pennsylvanicus,2
2008-05-19,2008-05-29,Ridge,HemlockControl,6,3,Litter_sifting,Stenamma,impar,2
2008-05-19,2008-05-29,Ridge,HemlockControl,6,3,Litter_sifting,Stenamma,impar,2
2008-05-19,2008-05-29,Ridge,HemlockControl,6,3,Litter_sifting,Stenamma,impar,2
2008-07-18,2008-07-28,Ridge,HemlockControl,6,3,Litter_sifting,Aphaenogaster,picea,1
2008-07-18,2008-07-28,Ridge,HemlockControl,6,4,Litter_sifting,Aphaenogaster,picea,2
2008-07-18,2008-07-28,Ridge,HemlockControl,6,4,Pitfall,Aphaenogaster,picea,2
2008-07-18,2008-07-28,Ridge,HemlockControl,6,4,Litter_sifting,Stenamma,impar,1
2008-09-22,2008-10-02,Ridge,HemlockControl,6,4,Pitfall,Aphaenogaster,picea,3
2008-09-22,2008-10-02,Ridge,HemlockControl,6,4,Litter_sifting,Aphaenogaster,picea,2
2008-09-22,2008-10-02,Ridge,HemlockControl,6,4,Litter_sifting,Myrmecina,americana,1
2008-09-22,2008-10-02,Ridge,HemlockControl,6,4,Litter_sifting,Stenamma,impar,1
2008-05-19,2008-05-29,Ridge,HemlockControl,6,5,Litter_sifting,Stenamma,impar,3
2008-07-18,2008-07-28,Ridge,HemlockControl,6,5,Pitfall,Aphaenogaster,picea,2
2008-07-18,2008-07-28,Ridge,HemlockControl,6,5,Litter_sifting,Aphaenogaster,picea,1
2008-07-18,2008-07-28,Ridge,HemlockControl,6,5,Litter_sifting,Lasius,americanus,14
2008-07-18,2008-07-28,Ridge,HemlockControl,6,5,Litter_sifting,Myrmecina,americana,1
2008-05-19,2008-05-29,Ridge,HardwoodControl,7,1,Litter_sifting,Myrmecina,americana,1
2008-07-18,2008-07-28,Ridge,HardwoodControl,7,1,Pitfall,Aphaenogaster,picea,3
2008-07-18,2008-07-28,Ridge,HardwoodControl,7,1,Litter_sifting,Aphaenogaster,picea,3
2008-07-18,2008-07-28,Ridge,HardwoodControl,7,1,Pitfall,Camponotus,pennsylvanicus,3
2008-07-18,2008-07-28,Ridge,HardwoodControl,7,1,Litter_sifting,Myrmica,punctiventris,4
2008-07-18,2008-07-28,Ridge,HardwoodControl,7,1,Litter_sifting,Stenamma,impar,1
2008-07-18,2008-07-28,Ridge,HardwoodControl,7,1,Litter_sifting,Temnothorax,longispinosus,10
2008-05-19,2008-05-29,Ridge,HardwoodControl,7,2,Pitfall,Camponotus,pennsylvanicus,2
2008-05-19,2008-05-29,Ridge,HardwoodControl,7,2,Pitfall,Camponotus,pennsylvanicus,2
2008-07-18,2008-07-28,Ridge,HardwoodControl,7,2,Litter_sifting,Myrmica,punctiventris,2
2008-07-18,2008-07-28,Ridge,HardwoodControl,7,3,Litter_sifting,Aphaenogaster,picea,11
2008-07-18,2008-07-28,Ridge,HardwoodControl,7,3,Litter_sifting,Temnothorax,longispinosus,2
2008-09-22,2008-10-02,Ridge,HardwoodControl,7,3,Pitfall,Camponotus,pennsylvanicus,1
2008-09-22,2008-10-02,Ridge,HardwoodControl,7,3,Pitfall,Lasius,nearcticus,1
2008-05-19,2008-05-29,Ridge,HardwoodControl,7,4,Pitfall,Formica,neogagates,1
2008-05-19,2008-05-29,Ridge,HardwoodControl,7,4,Pitfall,Formica,neogagates,1
2008-07-18,2008-07-28,Ridge,HardwoodControl,7,4,Litter_sifting,Aphaenogaster,picea,7
2008-07-18,2008-07-28,Ridge,HardwoodControl,7,4,Pitfall,Aphaenogaster,picea,2
2008-07-18,2008-07-28,Ridge,HardwoodControl,7,4,Pitfall,Camponotus,pennsylvanicus,1
2008-07-18,2008-07-28,Ridge,HardwoodControl,7,4,Litter_sifting,Myrmica,punctiventris,1
2008-07-18,2008-07-28,Ridge,HardwoodControl,7,4,Pitfall,Myrmica,punctiventris,1
2008-09-22,2008-10-02,Ridge,HardwoodControl,7,4,Pitfall,Myrmica,punctiventris,1
2008-05-19,2008-05-29,Ridge,HardwoodControl,7,5,Pitfall,Aphaenogaster,picea,1
2008-05-19,2008-05-29,Ridge,HardwoodControl,7,5,Litter_sifting,Temnothorax,longispinosus,3
2008-05-19,2008-05-29,Ridge,HardwoodControl,7,5,Pitfall,Temnothorax,longispinosus,2
2008-05-19,2008-05-29,Ridge,HardwoodControl,7,5,Pitfall,Temnothorax,longispinosus,2
2008-07-18,2008-07-28,Ridge,HardwoodControl,7,5,Litter_sifting,Aphaenogaster,picea,3
2008-07-18,2008-07-28,Ridge,HardwoodControl,7,5,Litter_sifting,Stenamma,impar,1
2008-05-19,2008-05-29,Valley,HardwoodControl,8,1,Pitfall,Aphaenogaster,picea,2
2008-05-19,2008-05-29,Valley,HardwoodControl,8,1,Pitfall,Aphaenogaster,picea,2
2008-05-19,2008-05-29,Valley,HardwoodControl,8,1,Pitfall,Formica,subaenescens,3
2008-05-19,2008-05-29,Valley,HardwoodControl,8,1,Litter_sifting,Myrmecina,americana,5
2008-07-18,2008-07-28,Valley,HardwoodControl,8,1,Pitfall,Aphaenogaster,picea,1
2008-07-18,2008-07-28,Valley,HardwoodControl,8,1,Litter_sifting,Aphaenogaster,picea,28
2008-07-18,2008-07-28,Valley,HardwoodControl,8,1,Litter_sifting,Camponotus,novaeboracensis,2
2008-07-18,2008-07-28,Valley,HardwoodControl,8,1,Pitfall,Myrmica,punctiventris,2
2008-07-18,2008-07-28,Valley,HardwoodControl,8,1,Litter_sifting,Myrmica,punctiventris,30
2008-05-19,2008-05-29,Valley,HardwoodControl,8,2,Pitfall,Aphaenogaster,picea,1
2008-05-19,2008-05-29,Valley,HardwoodControl,8,2,Litter_sifting,Aphaenogaster,picea,20
2008-05-19,2008-05-29,Valley,HardwoodControl,8,2,Pitfall,Aphaenogaster,picea,1
2008-05-19,2008-05-29,Valley,HardwoodControl,8,2,Litter_sifting,Stenamma,impar,4
2008-07-18,2008-07-28,Valley,HardwoodControl,8,2,Pitfall,Aphaenogaster,picea,1
2008-07-18,2008-07-28,Valley,HardwoodControl,8,2,Litter_sifting,Aphaenogaster,picea,7
2008-07-18,2008-07-28,Valley,HardwoodControl,8,2,Litter_sifting,Formica,neogagates,13
2008-07-18,2008-07-28,Valley,HardwoodControl,8,2,Pitfall,Formica,subaenescens,1
2008-07-18,2008-07-28,Valley,HardwoodControl,8,2,Pitfall,Myrmica,punctiventris,1
2008-07-18,2008-07-28,Valley,HardwoodControl,8,2,Litter_sifting,Myrmica,punctiventris,17
2008-09-22,2008-10-02,Valley,HardwoodControl,8,2,Pitfall,Aphaenogaster,picea,1
2008-09-22,2008-10-02,Valley,HardwoodControl,8,2,Litter_sifting,Aphaenogaster,picea,1
2008-09-22,2008-10-02,Valley,HardwoodControl,8,2,Litter_sifting,Myrmica,punctiventris,6
2008-09-22,2008-10-02,Valley,HardwoodControl,8,2,Litter_sifting,Ponera,pennsylvanica,1
2008-05-19,2008-05-29,Valley,HardwoodControl,8,3,Litter_sifting,Aphaenogaster,picea,14
2008-05-19,2008-05-29,Valley,HardwoodControl,8,3,Litter_sifting,Myrmica,punctiventris,39
2008-07-18,2008-07-28,Valley,HardwoodControl,8,3,Pitfall,Aphaenogaster,picea,1
2008-07-18,2008-07-28,Valley,HardwoodControl,8,3,Litter_sifting,Aphaenogaster,picea,2
2008-07-18,2008-07-28,Valley,HardwoodControl,8,3,Pitfall,Myrmica,punctiventris,1
2008-07-18,2008-07-28,Valley,HardwoodControl,8,3,Litter_sifting,Myrmica,punctiventris,10
