"","year","date","block","plot","treatment","moose.cage","trap.type","trap.num","genus","species","code","abundance"
"87",2003,"2003-06-01","Ridge",7,"HardwoodControl",NA,"pitfall","9","Myrmica","punctiventris","myrpun",1
"88",2003,"2003-06-01","Valley",1,"Girdled",NA,"bait","1 hour","Aphaenogaster","picea","aphpic",2
"89",2003,"2003-06-01","Valley",1,"Girdled",NA,"bait","1 hour","Camponotus","novaeboracensis","camnov",1
"90",2003,"2003-06-01","Valley",1,"Girdled",NA,"bait","15 minutes","Aphaenogaster","picea","aphpic",2
"91",2003,"2003-06-01","Valley",1,"Girdled",NA,"bait","15 minutes","Camponotus","novaeboracensis","camnov",1
"92",2003,"2003-06-01","Valley",1,"Girdled",NA,"hand",NA,"Aphaenogaster","picea","aphpic",1
"93",2003,"2003-06-01","Valley",1,"Girdled",NA,"hand",NA,"Camponotus","novaeboracensis","camnov",1
"94",2003,"2003-06-01","Valley",1,"Girdled",NA,"litter","2","Aphaenogaster","picea","aphpic",1
"95",2003,"2003-06-01","Valley",1,"Girdled",NA,"litter","3","Aphaenogaster","picea","aphpic",1
"96",2003,"2003-06-01","Valley",1,"Girdled",NA,"pitfall","1","Aphaenogaster","picea","aphpic",1
"97",2003,"2003-06-01","Valley",1,"Girdled",NA,"pitfall","10","Aphaenogaster","fulva","aphful",1
"98",2003,"2003-06-01","Valley",1,"Girdled",NA,"pitfall","10","Camponotus","novaeboracensis","camnov",1
"99",2003,"2003-06-01","Valley",1,"Girdled",NA,"pitfall","14","Aphaenogaster","picea","aphpic",1
"100",2003,"2003-06-01","Valley",1,"Girdled",NA,"pitfall","16","Aphaenogaster","picea","aphpic",1
"101",2003,"2003-06-01","Valley",1,"Girdled",NA,"pitfall","2","Aphaenogaster","picea","aphpic",1
"102",2003,"2003-06-01","Valley",1,"Girdled",NA,"pitfall","23","Aphaenogaster","picea","aphpic",2
"103",2003,"2003-06-01","Valley",2,"Logged",NA,"bait","15 minutes","Aphaenogaster","picea","aphpic",2
"104",2003,"2003-06-01","Valley",2,"Logged",NA,"hand",NA,"Aphaenogaster","picea","aphpic",4
"105",2003,"2003-06-01","Valley",2,"Logged",NA,"hand",NA,"Temnothorax","longispinosus","temlon",1
"106",2003,"2003-06-01","Valley",2,"Logged",NA,"litter","1","Aphaenogaster","picea","aphpic",1
"107",2003,"2003-06-01","Valley",2,"Logged",NA,"litter","1","Stenemma","impar","steimp",1
"108",2003,"2003-06-01","Valley",2,"Logged",NA,"litter","2","Stenemma","impar","steimp",1
"109",2003,"2003-06-01","Valley",2,"Logged",NA,"pitfall","14","Aphaenogaster","picea","aphpic",1
"110",2003,"2003-06-01","Valley",2,"Logged",NA,"pitfall","7","Aphaenogaster","picea","aphpic",1
"111",2003,"2003-06-01","Valley",3,"HemlockControl",NA,"bait","1 hr","Aphaenogaster","picea","aphpic",1
"112",2003,"2003-06-01","Valley",3,"HemlockControl",NA,"bait","15 minutes","Aphaenogaster","picea","aphpic",1
"113",2003,"2003-06-01","Valley",3,"HemlockControl",NA,"hand",NA,"Stenemma","diecki","stedie",1
"114",2003,"2003-06-01","Valley",3,"HemlockControl",NA,"litter","3","Aphaenogaster","picea","aphpic",1
"115",2003,"2003-06-01","Valley",8,"HardwoodControl",NA,"bait","1 hour","Aphaenogaster","picea","aphpic",2
"116",2003,"2003-06-01","Valley",8,"HardwoodControl",NA,"bait","1 hour","Camponotus","pennsylvanicus","campen",1
"117",2003,"2003-06-01","Valley",8,"HardwoodControl",NA,"bait","1 hour","Formica","subsericea","forsub3",1
"118",2003,"2003-06-01","Valley",8,"HardwoodControl",NA,"bait","15 minutes","Aphaenogaster","picea","aphpic",2
"119",2003,"2003-06-01","Valley",8,"HardwoodControl",NA,"bait","15 minutes","Camponotus","pennsylvanicus","campen",3
"120",2003,"2003-06-01","Valley",8,"HardwoodControl",NA,"bait","15 minutes","Formica","subaenescens","forsub1",2
"121",2003,"2003-06-01","Valley",8,"HardwoodControl",NA,"bait","15 minutes","Myrmica","punctiventris","myrpun",1
"122",2003,"2003-06-01","Valley",8,"HardwoodControl",NA,"hand",NA,"Aphaenogaster","picea","aphpic",2
"123",2003,"2003-06-01","Valley",8,"HardwoodControl",NA,"hand",NA,"Camponotus","pennsylvanicus","campen",2
"124",2003,"2003-06-01","Valley",8,"HardwoodControl",NA,"hand",NA,"Formica","aserva","forase",1
"125",2003,"2003-06-01","Valley",8,"HardwoodControl",NA,"hand",NA,"Formica","subaenescens","forsub1",2
"126",2003,"2003-06-01","Valley",8,"HardwoodControl",NA,"hand",NA,"Formica","subsericea","forsub3",1
"127",2003,"2003-06-01","Valley",8,"HardwoodControl",NA,"hand",NA,"Lasius","americanus","lasame",1
"128",2003,"2003-06-01","Valley",8,"HardwoodControl",NA,"hand",NA,"Lasius","nearcticus","lasnea",1
"129",2003,"2003-06-01","Valley",8,"HardwoodControl",NA,"hand",NA,"Myrmica","punctiventris","myrpun",1
"130",2003,"2003-06-01","Valley",8,"HardwoodControl",NA,"litter","2","Aphaenogaster","picea","aphpic",2
"131",2003,"2003-06-01","Valley",8,"HardwoodControl",NA,"litter","2","Myrmica","punctiventris","myrpun",2
"132",2003,"2003-06-01","Valley",8,"HardwoodControl",NA,"litter","3","Aphaenogaster","picea","aphpic",2
"133",2003,"2003-06-01","Valley",8,"HardwoodControl",NA,"litter","3","Myrmica","punctiventris","myrpun",1
"134",2003,"2003-06-01","Valley",8,"HardwoodControl",NA,"pitfall","1","Aphaenogaster","picea","aphpic",1
"135",2003,"2003-06-01","Valley",8,"HardwoodControl",NA,"pitfall","10","Aphaenogaster","picea","aphpic",1
"136",2003,"2003-06-01","Valley",8,"HardwoodControl",NA,"pitfall","10","Camponotus","pennsylvanicus","campen",1
"137",2003,"2003-06-01","Valley",8,"HardwoodControl",NA,"pitfall","10","Formica","subaenescens","forsub1",1
"138",2003,"2003-06-01","Valley",8,"HardwoodControl",NA,"pitfall","10","Myrmica","punctiventris","myrpun",1
"139",2003,"2003-06-01","Valley",8,"HardwoodControl",NA,"pitfall","11","Aphaenogaster","picea","aphpic",1
"140",2003,"2003-06-01","Valley",8,"HardwoodControl",NA,"pitfall","11","Camponotus","pennsylvanicus","campen",3
"141",2003,"2003-06-01","Valley",8,"HardwoodControl",NA,"pitfall","11","Formica","subaenescens","forsub1",3
"142",2003,"2003-06-01","Valley",8,"HardwoodControl",NA,"pitfall","12","Formica","subaenescens","forsub1",1
"143",2003,"2003-06-01","Valley",8,"HardwoodControl",NA,"pitfall","12","Myrmica","punctiventris","myrpun",1
"144",2003,"2003-06-01","Valley",8,"HardwoodControl",NA,"pitfall","13","Aphaenogaster","picea","aphpic",1
"145",2003,"2003-06-01","Valley",8,"HardwoodControl",NA,"pitfall","13","Formica","subaenescens","forsub1",2
"146",2003,"2003-06-01","Valley",8,"HardwoodControl",NA,"pitfall","13","Myrmica","punctiventris","myrpun",1
"147",2003,"2003-06-01","Valley",8,"HardwoodControl",NA,"pitfall","14","Camponotus","pennsylvanicus","campen",1
"148",2003,"2003-06-01","Valley",8,"HardwoodControl",NA,"pitfall","14","Formica","subaenescens","forsub1",2
"149",2003,"2003-06-01","Valley",8,"HardwoodControl",NA,"pitfall","15","Camponotus","pennsylvanicus","campen",1
"150",2003,"2003-06-01","Valley",8,"HardwoodControl",NA,"pitfall","15","Formica","subaenescens","forsub1",2
"151",2003,"2003-06-01","Valley",8,"HardwoodControl",NA,"pitfall","16","Aphaenogaster","picea","aphpic",1
"152",2003,"2003-06-01","Valley",8,"HardwoodControl",NA,"pitfall","16","Camponotus","pennsylvanicus","campen",1
"153",2003,"2003-06-01","Valley",8,"HardwoodControl",NA,"pitfall","17","Aphaenogaster","picea","aphpic",1
"154",2003,"2003-06-01","Valley",8,"HardwoodControl",NA,"pitfall","17","Camponotus","pennsylvanicus","campen",1
"155",2003,"2003-06-01","Valley",8,"HardwoodControl",NA,"pitfall","17","Formica","subaenescens","forsub1",1
"156",2003,"2003-06-01","Valley",8,"HardwoodControl",NA,"pitfall","18","Aphaenogaster","picea","aphpic",1
"157",2003,"2003-06-01","Valley",8,"HardwoodControl",NA,"pitfall","18","Formica","subaenescens","forsub1",1
"158",2003,"2003-06-01","Valley",8,"HardwoodControl",NA,"pitfall","19","Aphaenogaster","picea","aphpic",1
"159",2003,"2003-06-01","Valley",8,"HardwoodControl",NA,"pitfall","19","Formica","subaenescens","forsub1",2
"160",2003,"2003-06-01","Valley",8,"HardwoodControl",NA,"pitfall","2","Aphaenogaster","picea","aphpic",2
"161",2003,"2003-06-01","Valley",8,"HardwoodControl",NA,"pitfall","2","Formica","subaenescens","forsub1",1
"162",2003,"2003-06-01","Valley",8,"HardwoodControl",NA,"pitfall","20","Aphaenogaster","picea","aphpic",1
"163",2003,"2003-06-01","Valley",8,"HardwoodControl",NA,"pitfall","21","Camponotus","pennsylvanicus","campen",1
"164",2003,"2003-06-01","Valley",8,"HardwoodControl",NA,"pitfall","21","Formica","subaenescens","forsub1",2
"165",2003,"2003-06-01","Valley",8,"HardwoodControl",NA,"pitfall","21","Myrmica","punctiventris","myrpun",1
"166",2003,"2003-06-01","Valley",8,"HardwoodControl",NA,"pitfall","22","Formica","subaenescens","forsub1",1
"167",2003,"2003-06-01","Valley",8,"HardwoodControl",NA,"pitfall","24","Camponotus","pennsylvanicus","campen",1
"168",2003,"2003-06-01","Valley",8,"HardwoodControl",NA,"pitfall","3","Aphaenogaster","picea","aphpic",1
"169",2003,"2003-06-01","Valley",8,"HardwoodControl",NA,"pitfall","3","Formica","aserva","forase",1
"170",2003,"2003-06-01","Valley",8,"HardwoodControl",NA,"pitfall","3","Formica","subaenescens","forsub1",1
"171",2003,"2003-06-01","Valley",8,"HardwoodControl",NA,"pitfall","4","Aphaenogaster","picea","aphpic",1
"172",2003,"2003-06-01","Valley",8,"HardwoodControl",NA,"pitfall","6","Formica","subaenescens","forsub1",1
"173",2003,"2003-06-01","Valley",8,"HardwoodControl",NA,"pitfall","6","Myrmica","punctiventris","myrpun",1
"174",2003,"2003-06-01","Valley",8,"HardwoodControl",NA,"pitfall","9","Camponotus","pennsylvanicus","campen",1
"175",2003,"2003-06-01","Valley",8,"HardwoodControl",NA,"pitfall","9","Formica","subaenescens","forsub1",1
"176",2004,"2004-07-16","Ridge",4,"Logged",NA,"bait",NA,"Aphaenogaster","fulva","aphful",9
"177",2004,"2004-07-16","Ridge",4,"Logged",NA,"bait",NA,"Aphaenogaster","picea","aphpic",9
"178",2004,"2004-07-16","Ridge",4,"Logged",NA,"bait",NA,"Temnothorax","longispinosus","temlon",1
"179",2004,"2004-07-16","Ridge",4,"Logged",NA,"hand",NA,"Aphaenogaster","fulva","aphful",71
"180",2004,"2004-07-16","Ridge",4,"Logged",NA,"hand",NA,"Aphaenogaster","picea","aphpic",71
"181",2004,"2004-07-16","Ridge",4,"Logged",NA,"hand",NA,"Camponotus","pennsylvanicus","campen",1
"182",2004,"2004-07-16","Ridge",4,"Logged",NA,"hand",NA,"Lasius","americanus","lasame",1
"183",2004,"2004-07-16","Ridge",4,"Logged",NA,"hand",NA,"Lasius","nearcticus","lasnea",18
"184",2004,"2004-07-16","Ridge",4,"Logged",NA,"litter","(35;40)","Lasius","americanus","lasame",2
"185",2004,"2004-07-16","Ridge",4,"Logged",NA,"litter","(35;40)","Temnothorax","longispinosus","temlon",1
"186",2004,"2004-07-16","Ridge",4,"Logged",NA,"litter","(50;50)","Aphaenogaster","fulva","aphful",45
"187",2004,"2004-07-16","Ridge",4,"Logged",NA,"pitfall","1","Aphaenogaster","picea","aphpic",1
"188",2004,"2004-07-16","Ridge",4,"Logged",NA,"pitfall","11","Aphaenogaster","picea","aphpic",1
"189",2004,"2004-07-16","Ridge",4,"Logged",NA,"pitfall","12","Aphaenogaster","picea","aphpic",2
"190",2004,"2004-07-16","Ridge",4,"Logged",NA,"pitfall","12","Temnothorax","longispinosus","temlon",17
"191",2004,"2004-07-16","Ridge",4,"Logged",NA,"pitfall","2","Lasius","umbratus","lasumb",9
"192",2004,"2004-07-16","Ridge",4,"Logged",NA,"pitfall","22","Aphaenogaster","picea","aphpic",1
"193",2004,"2004-07-16","Ridge",4,"Logged",NA,"pitfall","7","Aphaenogaster","picea","aphpic",2
"194",2004,"2004-07-16","Ridge",4,"Logged",NA,"pitfall","9","Lasius","umbratus","lasumb",1
"195",2004,"2004-07-16","Ridge",5,"Girdled",NA,"bait",NA,"Aphaenogaster","fulva","aphful",9
"196",2004,"2004-07-16","Ridge",5,"Girdled",NA,"bait",NA,"Aphaenogaster","picea","aphpic",9
"197",2004,"2004-07-16","Ridge",5,"Girdled",NA,"bait",NA,"Camponotus","pennsylvanicus","campen",1
"198",2004,"2004-07-16","Ridge",5,"Girdled",NA,"bait",NA,"Temnothorax","longispinosus","temlon",1
"199",2004,"2004-07-16","Ridge",5,"Girdled",NA,"hand",NA,"Aphaenogaster","fulva","aphful",28
"200",2004,"2004-07-16","Ridge",5,"Girdled",NA,"hand",NA,"Camponotus","pennsylvanicus","campen",5
"201",2004,"2004-07-16","Ridge",5,"Girdled",NA,"litter","(35;35)","Aphaenogaster","picea","aphpic",4
"202",2004,"2004-07-16","Ridge",5,"Girdled",NA,"pitfall","11","Aphaenogaster","picea","aphpic",1
"203",2004,"2004-07-16","Ridge",5,"Girdled",NA,"pitfall","17","Aphaenogaster","picea","aphpic",1
"204",2004,"2004-07-16","Ridge",5,"Girdled",NA,"pitfall","21","Aphaenogaster","picea","aphpic",1
"205",2004,"2004-07-16","Ridge",5,"Girdled",NA,"pitfall","24","Camponotus","pennsylvanicus","campen",1
"206",2004,"2004-07-16","Valley",1,"Girdled",NA,"bait",NA,"Aphaenogaster","picea","aphpic",4
"207",2004,"2004-07-16","Valley",1,"Girdled",NA,"hand",NA,"Aphaenogaster","picea","aphpic",11
"208",2004,"2004-07-16","Valley",1,"Girdled",NA,"hand",NA,"Lasius","nearcticus","lasnea",8
"209",2004,"2004-07-16","Valley",1,"Girdled",NA,"litter","(60;50)","Stenemma","impar","steimp",3
"210",2004,"2004-07-16","Valley",1,"Girdled",NA,"pitfall","4","Aphaenogaster","picea","aphpic",1
"211",2004,"2004-07-16","Valley",2,"Logged",NA,"bait",NA,"Aphaenogaster","picea","aphpic",2
"212",2004,"2004-07-16","Valley",2,"Logged",NA,"hand",NA,"Aphaenogaster","picea","aphpic",25
"213",2004,"2004-07-16","Valley",3,"HemlockControl",NA,"bait",NA,"Aphaenogaster","picea","aphpic",1
"214",2004,"2004-07-16","Valley",3,"HemlockControl",NA,"hand",NA,"Aphaenogaster","picea","aphpic",4
"215",2004,"2004-07-16","Valley",3,"HemlockControl",NA,"hand",NA,"Camponotus","pennsylvanicus","campen",2
"216",2004,"2004-07-16","Valley",3,"HemlockControl",NA,"hand",NA,"Stenemma","impar","steimp",4
"217",2004,"2004-07-16","Valley",3,"HemlockControl",NA,"pitfall","12","Aphaenogaster","picea","aphpic",1
"218",2004,"2004-08-09","Ridge",6,"HemlockControl",NA,"bait",NA,"Aphaenogaster","fulva","aphful",22
"219",2004,"2004-08-09","Ridge",6,"HemlockControl",NA,"bait",NA,"Aphaenogaster","picea","aphpic",22
"220",2004,"2004-08-09","Ridge",6,"HemlockControl",NA,"hand",NA,"Aphaenogaster","picea","aphpic",28
"221",2004,"2004-08-09","Ridge",6,"HemlockControl",NA,"hand",NA,"Camponotus","pennsylvanicus","campen",1
"222",2004,"2004-08-09","Ridge",6,"HemlockControl",NA,"hand",NA,"Lasius","nearcticus","lasnea",13
"223",2004,"2004-08-09","Ridge",6,"HemlockControl",NA,"litter",NA,"Aphaenogaster","picea","aphpic",3
"224",2004,"2004-08-09","Ridge",6,"HemlockControl",NA,"pitfall","1","Aphaenogaster","picea","aphpic",5
"225",2004,"2004-08-09","Ridge",6,"HemlockControl",NA,"pitfall","10","Aphaenogaster","picea","aphpic",1
"226",2004,"2004-08-09","Ridge",6,"HemlockControl",NA,"pitfall","13","Aphaenogaster","picea","aphpic",2
"227",2004,"2004-08-09","Ridge",6,"HemlockControl",NA,"pitfall","15","Camponotus","pennsylvanicus","campen",4
"228",2004,"2004-08-09","Ridge",6,"HemlockControl",NA,"pitfall","17","Aphaenogaster","picea","aphpic",1
"229",2004,"2004-08-09","Ridge",6,"HemlockControl",NA,"pitfall","2","Aphaenogaster","picea","aphpic",2
"230",2004,"2004-08-09","Ridge",6,"HemlockControl",NA,"pitfall","23","Aphaenogaster","picea","aphpic",1
"231",2004,"2004-08-09","Ridge",6,"HemlockControl",NA,"pitfall","3","Aphaenogaster","picea","aphpic",1
"232",2004,"2004-08-09","Ridge",6,"HemlockControl",NA,"pitfall","6","Aphaenogaster","picea","aphpic",2
"233",2004,"2004-08-09","Ridge",6,"HemlockControl",NA,"pitfall","7","Aphaenogaster","picea","aphpic",1
"234",2004,"2004-08-09","Ridge",6,"HemlockControl",NA,"pitfall","9","Aphaenogaster","picea","aphpic",2
"235",2004,"2004-08-09","Ridge",7,"HardwoodControl",NA,"bait",NA,"Aphaenogaster","picea","aphpic",20
"236",2004,"2004-08-09","Ridge",7,"HardwoodControl",NA,"bait",NA,"Formica","subsericea","forsub3",1
"237",2004,"2004-08-09","Ridge",7,"HardwoodControl",NA,"bait",NA,"Myrmica","punctiventris","myrpun",1
"238",2004,"2004-08-09","Ridge",7,"HardwoodControl",NA,"hand",NA,"Aphaenogaster","picea","aphpic",1
"239",2004,"2004-08-09","Ridge",7,"HardwoodControl",NA,"hand",NA,"Camponotus","pennsylvanicus","campen",2
"240",2004,"2004-08-09","Ridge",7,"HardwoodControl",NA,"hand",NA,"Formica","subsericea","forsub3",2
"241",2004,"2004-08-09","Ridge",7,"HardwoodControl",NA,"hand",NA,"Myrmica","punctiventris","myrpun",1
